id,source_id,source_kind,village_name,province,city,region_basis,name_en,batch,source_url,source_as_of,retrieved_at,latitude,longitude,description
1003035,3035,public,怀柔区渤海镇北沟村,北京,北京,municipality,Huai Rou Qu Bo Hai Zhen Bei Gou Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003034,3034,public,延庆区井庄镇柳沟村,北京,北京,municipality,Yan Qing Qu Jing Zhuang Zhen Liu Gou Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003033,3033,public,密云区古北口镇古北口村,北京,北京,municipality,Mi Yun Qu Gu Bei Kou Zhen Gu Bei Kou Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003032,3032,public,房山区周口店镇黄山店村,北京,北京,municipality,Fang Shan Qu Zhou Kou Dian Zhen Huang Shan Dian Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003031,3031,public,怀柔区喇叭沟门满族乡中榆树店村,北京,北京,municipality,Huai Rou Qu La Ba Gou Men Man Zu Xiang Zhong Yu Shu Dian Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003030,3030,public,门头沟区斋堂镇灵水村,北京,北京,municipality,Men Tou Gou Qu Zhai Tang Zhen Ling Shui Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003029,3029,public,顺义区龙湾屯镇柳庄户村,北京,北京,municipality,Shun Yi Qu Long Wan Tun Zhen Liu Zhuang Hu Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003028,3028,public,延庆区刘斌堡乡姚官岭村,北京,北京,municipality,Yan Qing Qu Liu Bin Bao Xiang Yao Guan Ling Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003027,3027,public,门头沟区斋堂镇马栏村,北京,北京,municipality,Men Tou Gou Qu Zhai Tang Zhen Ma Lan Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003026,3026,public,蓟州区下营镇常州村,天津,天津,municipality,Ji Zhou Qu Xia Ying Zhen Chang Zhou Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003025,3025,public,蓟州区渔阳镇西井峪村,天津,天津,municipality,Ji Zhou Qu Yu Yang Zhen Xi Jing Yu Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003024,3024,public,蓟州区下营镇郭家沟村,天津,天津,municipality,Ji Zhou Qu Xia Ying Zhen Guo Jia Gou Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003023,3023,public,蓟州区穿芳峪镇小穿芳峪村,天津,天津,municipality,Ji Zhou Qu Chuan Fang Yu Zhen Xiao Chuan Fang Yu Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003022,3022,public,蓟州区穿芳峪镇毛家峪村,天津,天津,municipality,Ji Zhou Qu Chuan Fang Yu Zhen Mao Jia Yu Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003021,3021,public,蓟州区穿芳峪镇大巨各庄村,天津,天津,municipality,Ji Zhou Qu Chuan Fang Yu Zhen Da Ju Ge Zhuang Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003020,3020,public,蓟州区上仓镇程家庄村,天津,天津,municipality,Ji Zhou Qu Shang Cang Zhen Cheng Jia Zhuang Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003019,3019,public,石家庄市平山县岗南镇李家庄村,河北,石家庄,name_prefix,Shi Jia Zhuang Shi Ping Shan Xian Gang Nan Zhen Li Jia Zhuang Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003018,3018,public,邯郸市馆陶县寿山寺乡寿山寺东村,河北,邯郸,name_prefix,Han Dan Shi Guan Tao Xian Shou Shan Si Xiang Shou Shan Si Dong Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003017,3017,public,衡水市武强县周窝镇周窝村,河北,衡水,name_prefix,Heng Shui Shi Wu Qiang Xian Zhou Wo Zhen Zhou Wo Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003016,3016,public,保定市涞水县三坡镇百里峡村,河北,保定,name_prefix,Bao Ding Shi Lai Shui Xian San Po Zhen Bai Li Xia Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003015,3015,public,张家口市蔚县暖泉镇西古堡村,河北,张家口,name_prefix,Zhang Jia Kou Shi Yu Xian Nuan Quan Zhen Xi Gu Bao Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003014,3014,public,雄安新区雄县张岗乡王村,河北,河北,province_fallback,Xiong An Xin Qu Xiong Xian Zhang Gang Xiang Wang Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003013,3013,public,唐山市曹妃甸区十里海养殖场,河北,唐山,name_prefix,Tang Shan Shi Cao Fei Dian Qu Shi Li Hai Yang Zhi Chang,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003012,3012,public,邢台市沙河市柴关乡王硇村,河北,邢台,name_prefix,Xing Tai Shi Sha He Shi Chai Guan Xiang Wang Nao Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
1003011,3011,public,保定市竞秀区江城乡大激店村,河北,保定,name_prefix,Bao Ding Shi Jing Xiu Qu Jiang Cheng Xiang Da Ji Dian Cun,1,https://sjfw.mct.gov.cn/site/dataservice/rural,2022-12-07,2026-09-26,,,公开名录确认名称与所属地区；活动、餐饮、住宿和坐标尚未补充。
